season,alias,canonical_name,notes
2021-22,FVV,Fred VanVleet,Initials
2021-22,KAT,Karl-Anthony Towns,Initials
2021-22,SGA,Shai Gilgeous-Alexander,Initials
2021-22,MPJ,Michael Porter Jr.,Initials
2021-22,KPJ,Kevin Porter Jr.,Initials
2021-22,JJJ,Jaren Jackson Jr.,Initials
2021-22,CP3,Chris Paul,Nickname
2021-22,Timelord,Robert Williams III,Nickname
2021-22,RoCo,Robert Covington,Nickname
2021-22,Young Bull,Collin Sexton,Nickname
2021-22,ATL Bogda,Bogdan Bogdanovic,Sheet shorthand
2021-22,TJ McC's,T.J. McConnell,Sheet shorthand
2021-22,JTA,Juan Toscano-Anderson,Initials
2021-22,NAW,Nickeil Alexander-Walker,Initials
2021-22,DeAngelo,D'Angelo Russell,Misspelling
2021-22,Lilliard,Damian Lillard,Misspelling
2021-22,DeRozen,DeMar DeRozan,Misspelling
2021-22,Siakim,Pascal Siakam,Misspelling
2021-22,Josh Giddy,Josh Giddey,Misspelling
2021-22,Kemba,Kemba Walker,First-name shorthand
2021-22,Thad Young,Thaddeus Young,Nickname
2021-22,Porzingus,Kristaps Porzingis,Misspelling
2022-23,Brandon Clarke,Brandon Clarke,Historical ID absent from current catalog
2022-23,Mohamed Bamba,Mo Bamba,Fantrax canonical name
